,shop,image,product title,listing link
11,SpeakeDesigns,https://i.etsystatic.com/13749599/d/il/72632b/1639789281/il_340x270.1639789281_b4ic.jpg?version=0,"
                        Printable Back-to-School Sign - We edit for you!
                    ",https://www.etsy.com/listing/637132679/printable-back-to-school-sign-we-edit?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-9&organic_search_click=1&frs=1&col=1
12,SimplyPerfectDesignL,https://i.etsystatic.com/9704754/d/il/427fe5/1346536350/il_340x270.1346536350_gtge.jpg?version=0,"
                        First Last Day of School Board - Reuseable Chalkboard Sign - Custom your own - End of School - chalkboard cardstock signs - Not a Digital Im
                    ",https://www.etsy.com/listing/569801795/first-last-day-of-school-board-reuseable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-4&plkey=ceeb41ee746a85a2ea51b2ba4d8fff5f7bc8f3ae%3A569801795&frs=1&col=1
13,WordDazzle,https://i.etsystatic.com/14253193/d/il/0eb87f/1213987770/il_340x270.1213987770_4vjw.jpg?version=0,"
                        FIRST DAY Of SCHOOL Sign ~ 1st Day of Kindergarten Poster ~ Printable Back to School Sign ~ Digital Chalboard Prop ~ jpeg File
                    ",https://www.etsy.com/listing/521032236/first-day-of-school-sign-1st-day-of?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-5&plkey=f4fd04ae101628599d407bd05cfdcbc53f9c5540%3A521032236&pro=1&frs=1
14,gabcodesigns,https://i.etsystatic.com/15240763/c/2255/1791/492/142/il/705579/1560206090/il_340x270.1560206090_fl91.jpg,"
                        Unicorn girls First day of school chalkboard printable sign, back to school sign,Back to school chalkboard sign, 1st day Back to School Sign
                    ",https://www.etsy.com/listing/554263145/unicorn-girls-first-day-of-school?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-6&plkey=3dd6e81353d3c69ff0fd2e880db362d022ac427b%3A554263145&frs=1
15,HOOTinvitations,https://i.etsystatic.com/8164749/c/1500/1191/0/277/il/ca96a5/1562446878/il_340x270.1562446878_7zf4.jpg,"
                        First day of school sign editable, Back to School sign, 1st day of school chalkboard, Back to School printable, kindergarten poster BOYS
                    ",https://www.etsy.com/listing/629387695/first-day-of-school-sign-editable-back?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-10&organic_search_click=1
16,HOOTinvitations,https://i.etsystatic.com/8164749/c/1500/1191/0/277/il/0cceb9/1549858694/il_340x270.1549858694_o7b4.jpg,"
                        Back to School sign, First day of school sign, 1st day of school chalkboard, Back to School printable, kindergarten poster EDITABLE
                    ",https://www.etsy.com/listing/626036927/back-to-school-sign-first-day-of-school?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-11&organic_search_click=1&bes=1
17,SoCutePrintCo,https://i.etsystatic.com/16642375/d/il/8a410e/1571218212/il_340x270.1571218212_i02g.jpg?version=0,"
                        Teacher clipart, Back to school, PNG file for sublimation, Monogram frame, first day of school, printable, teacher printable
                    ",https://www.etsy.com/listing/631675459/teacher-clipart-back-to-school-png-file?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-12&organic_search_click=1
18,HOOTinvitations,https://i.etsystatic.com/8164749/c/1500/1191/0/88/il/d80f3b/1240118566/il_340x270.1240118566_63ls.jpg,"
                        Back to School sign, First day of school sign, 1st day of school chalkboard, Back to School printable, kindergarten poster grade school sign
                    ",https://www.etsy.com/listing/542817275/back-to-school-sign-first-day-of-school?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-13&organic_search_click=1&frs=1
19,SwankyDesignCo,https://i.etsystatic.com/7715004/c/1140/905/0/402/il/8394bb/1778487794/il_340x270.1778487794_kixk.jpg,"
                        First Day of Senior Year Sign, Printable First Day Sign, Back To School Sign, First Day of 12th Grade, Senior Year, Instant Download, 2020
                    ",https://www.etsy.com/listing/471400609/first-day-of-senior-year-sign-printable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-14&organic_search_click=1&bes=1
20,SwankyDesignCo,https://i.etsystatic.com/7715004/d/il/c56cd4/1753388448/il_340x270.1753388448_d7bc.jpg?version=0,"
                        First Day of Preschool Sign, Printable First Day, School Sign, Back To School Sign, Preschool Sign, Chalkboard Sign, 2019, Instant Download
                    ",https://www.etsy.com/listing/472505645/first-day-of-preschool-sign-printable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-15&organic_search_click=1&bes=1
